user_id,solved_tasks,unique_tasks,unique_nodes,task_correct_rate,first_task_time,last_task_time,total_practices,kim_count,block_count,avg_test_score,avg_total_score,first_practice_time,last_practice_time,assessed_competences,avg_mastery,avg_need,total_evidence,avg_evidence,avg_trend_score,declining_competences,stuck_low_competences,improving_competences
31,15.0,15.0,15.0,0.6666666666666666,2026-02-25 15:14:25.974472+00:00,2026-02-25 15:14:25.974472+00:00,1,1,0,82.0,18.0,2026-02-25 15:14:25.974472+00:00,2026-02-25 15:14:25.974472+00:00,24,0.0322758251827731,0.967724174817227,24,1.0,0.0,0,0,0
32,12.0,12.0,12.0,1.0,2026-02-26 14:57:56.504200+00:00,2026-02-26 14:57:56.504200+00:00,1,1,0,70.0,12.0,2026-02-26 14:57:56.504200+00:00,2026-02-26 14:57:56.504200+00:00,24,0.0350877192982456,0.9649122807017544,24,1.0,0.0,0,0,0
33,83.0,60.0,36.0,0.7469879518072289,2026-02-27 11:19:58.501518+00:00,2026-04-03 20:54:46.626605+00:00,7,7,0,54.285714285714285,9.714285714285714,2026-02-27 11:19:58.501518+00:00,2026-04-03 20:54:46.626605+00:00,51,0.41526785060576116,0.5847321493942389,218,4.2745098039215685,0.03242122232809945,2,1,37
34,35.0,35.0,23.0,0.7714285714285715,2026-03-06 06:19:25.060497+00:00,2026-04-06 06:55:47.330093+00:00,3,3,0,52.0,9.0,2026-03-06 06:19:25.060497+00:00,2026-04-06 06:55:47.330093+00:00,43,0.07152915305645019,0.9284708469435499,85,1.9767441860465116,0.028749239346767673,9,6,10
35,1.0,1.0,1.0,1.0,2026-03-08 09:50:36.733967+00:00,2026-03-08 09:50:36.733967+00:00,1,1,0,6.0,1.0,2026-03-08 09:50:36.733967+00:00,2026-03-08 09:50:36.733967+00:00,1,0.0350877192982456,0.9649122807017544,1,1.0,0.0,0,0,0
37,5.0,5.0,5.0,0.8,2026-04-02 16:30:39.853574+00:00,2026-04-02 16:30:39.853574+00:00,1,1,0,22.0,4.0,2026-04-02 16:30:39.853574+00:00,2026-04-02 16:30:39.853574+00:00,11,0.032020198445002875,0.9679798015549971,11,1.0,0.0,0,0,0
39,1.0,1.0,1.0,0.0,2026-05-13 21:55:23.694225+00:00,2026-05-13 21:55:23.694225+00:00,1,1,0,0.0,0.0,2026-05-13 21:55:23.694225+00:00,2026-05-13 21:55:23.694225+00:00,1,0.0013449899125756,0.9986550100874244,1,1.0,0.0,0,0,0
4,9.0,9.0,8.0,0.2222222222222222,,,3,3,0,3.6666666666666665,0.6666666666666666,2026-01-29 17:26:14.122537+00:00,2026-01-29 17:39:01.419094+00:00,5,0.0080935357897096,0.9919064642102905,7,1.4,0.01384801613987904,0,5,0
5,402.0,294.0,66.0,0.7661691542288557,2026-02-22 14:49:19.246889+00:00,2026-04-26 18:28:05.963837+00:00,28,15,13,71.10714285714286,15.035714285714286,2026-02-22 14:49:19.246889+00:00,2026-04-26 18:28:05.963837+00:00,81,0.6498299111950375,0.35017008880496253,824,10.17283950617284,0.0,0,5,63
6,1.0,1.0,1.0,0.0,,,1,1,0,0.0,0.0,2026-01-20 08:11:59.740022+00:00,2026-01-20 08:11:59.740022+00:00,1,0.0013449899125756,0.9986550100874244,1,1.0,0.0173100201748488,0,1,0
7,48.0,46.0,24.0,0.6458333333333334,2026-02-18 12:13:55.771170+00:00,2026-02-25 13:12:27.385764+00:00,5,5,0,35.6,6.2,2026-02-18 12:13:55.771170+00:00,2026-02-25 13:12:27.385764+00:00,41,0.09030900328023907,0.909690996719761,101,2.4634146341463414,0.002139782839091268,2,11,12
